date;testing;run;sent;errors;failures
2025-05-15;False;first_contact;46;0;[]
2025-05-15;False;remainders;46;0;[]
2025-05-17;False;first_contact;1;0;[]
2025-05-17;True;remainders;4;0;[]
2025-05-21;False;first_contact;4;0;[]
2025-05-23;False;remainders;52;0;[]
2025-05-26;True;remainders;4;0;[]
2025-05-26;True;first_contact;4;0;[]
2025-05-27;True;mediadores;4;0;[]
2025-05-27;True;mediadores;6;0;[]
2025-05-27;True;mediadores;1;0;[]
2025-05-27;False;mediadores;0;0;[]
2025-05-27;True;mediadores;1;0;[]
2025-05-27;True;mediadores;1;0;[]
2025-05-27;True;mediadores;1;0;[]
2025-05-28;True;remainders;4;0;[]
2025-05-29;False;dailyremainders;2;0;[]
2025-05-29;False;mediadores;46;0;[]
2025-05-30;False;dailyremainders;2;0;[]
2025-05-30;False;remainders;52;0;[]
2025-06-01;True;remainders;4;0;[]
2025-06-02;False;dailyremainders;2;0;[]
2025-06-02;False;mediadores;46;0;[]
2025-06-02;False;dailyremainders;2;0;[]
2025-06-02;False;dailyremainders;2;0;[]
2025-06-03;False;dailyremainders;2;0;[]
2025-06-04;False;dailyremainders;2;0;[]
2025-06-05;False;dailyremainders;2;0;[]
2025-06-06;False;dailyremainders;2;0;[]
2025-06-06;False;remainders;52;0;[]
2025-06-09;False;dailyremainders;2;0;[]
2025-06-09;False;mediadores;45;0;[]
2025-06-10;False;dailyremainders;2;0;[]
2025-06-11;False;dailyremainders;2;0;[]
2025-06-12;False;dailyremainders;2;0;[]
2025-06-13;False;dailyremainders;2;0;[]
2025-06-13;False;remainders;52;0;[]
2025-06-17;False;dailyremainders;2;0;[]
2025-06-17;False;mediadores;45;0;[]
2025-06-18;False;dailyremainders;2;0;[]
2025-06-19;False;dailyremainders;2;0;[]
2025-06-19;False;remainders;52;0;[]
2025-06-23;False;dailyremainders;2;0;[]
2025-06-23;False;mediadores;45;0;[]
2025-06-24;False;dailyremainders;2;0;[]
2025-06-26;False;dailyremainders;2;0;[]
2025-06-27;False;dailyremainders;2;0;[]
2025-06-27;False;remainders;52;0;[]
2025-06-30;False;dailyremainders;2;0;[]
2025-06-30;False;mediadores;45;0;[]
2025-07-01;False;dailyremainders;2;0;[]
2025-07-02;False;dailyremainders;2;0;[]
2025-07-03;False;dailyremainders;2;0;[]
2025-07-04;False;dailyremainders;2;0;[]
2025-07-04;False;remainders;52;0;[]
2025-08-04;False;remainders;52;0;[]
2025-08-05;True;dailyremainders;2;0;[]
2025-08-05;False;dailyremainders;2;0;[]
2025-08-07;False;dailyremainders;2;0;[]
2025-08-08;False;dailyremainders;2;0;[]
2025-08-08;False;remainders;52;0;[]
2025-08-11;False;dailyremainders;2;0;[]
2025-08-12;False;dailyremainders;2;0;[]
2025-08-13;False;dailyremainders;2;0;[]
2025-08-14;False;dailyremainders;2;0;[]
2025-08-14;False;remainders;52;0;[]
2025-08-18;False;dailyremainders;2;0;[]
2025-08-19;False;dailyremainders;2;0;[]
2025-08-20;False;dailyremainders;2;0;[]
2025-08-21;False;dailyremainders;2;0;[]
2025-08-22;False;dailyremainders;2;0;[]
2025-08-22;False;remainders;52;0;[]
2025-08-25;False;dailyremainders;2;0;[]
2025-08-26;False;dailyremainders;2;0;[]
2025-08-27;False;dailyremainders;2;0;[]
2025-08-28;False;dailyremainders;2;0;[]
2025-08-29;False;dailyremainders;2;0;[]
2025-08-29;False;remainders;52;0;[]
2025-09-01;False;dailyremainders;2;0;[]
2025-09-01;False;mediadores;45;0;[]
2025-09-02;False;dailyremainders;2;0;[]
2025-09-03;False;dailyremainders;2;0;[]
2025-09-04;False;dailyremainders;2;0;[]
2025-09-05;False;dailyremainders;2;0;[]
2025-09-05;False;remainders;52;0;[]
2025-09-09;False;dailyremainders;2;0;[]
2025-09-10;False;dailyremainders;2;0;[]
2025-09-12;False;dailyremainders;2;0;[]
2025-09-12;False;remainders;52;0;[]
2025-09-15;False;dailyremainders;2;0;[]
2025-09-16;False;dailyremainders;2;0;[]
2025-09-17;False;dailyremainders;2;0;[]
2025-09-18;False;dailyremainders;2;0;[]
2025-09-19;False;dailyremainders;2;0;[]
2025-09-19;False;remainders;52;0;[]
2025-09-22;False;dailyremainders;2;0;[]
2025-09-23;False;dailyremainders;2;0;[]
2025-09-24;False;dailyremainders;2;0;[]
2025-09-25;False;dailyremainders;2;0;[]
2025-09-26;False;dailyremainders;2;0;[]
2025-09-26;False;remainders;52;0;[]
2025-09-29;False;dailyremainders;2;0;[]
2025-09-30;False;dailyremainders;2;0;[]
2025-10-01;False;dailyremainders;2;0;[]
2025-10-02;False;dailyremainders;2;0;[]
2025-10-03;False;dailyremainders;2;0;[]
2025-10-03;False;remainders;52;0;[]
2025-10-06;False;dailyremainders;2;0;[]
2025-10-07;False;dailyremainders;2;0;[]
2025-10-08;False;dailyremainders;2;0;[]
2025-10-09;False;dailyremainders;2;0;[]
2025-10-09;False;remainders;52;0;[]
2025-10-13;False;dailyremainders;2;0;[]
2025-10-13;False;mediadores;45;0;[]
2025-10-14;False;dailyremainders;2;0;[]
2025-10-15;False;dailyremainders;2;0;[]
2025-10-16;False;dailyremainders;2;0;[]
2025-10-17;False;dailyremainders;2;0;[]
2025-10-17;False;remainders;52;0;[]
2025-10-20;False;dailyremainders;2;0;[]
2025-10-21;False;dailyremainders;2;0;[]
2025-10-22;False;dailyremainders;2;0;[]
2025-10-23;False;dailyremainders;2;0;[]
2025-10-24;False;dailyremainders;2;0;[]
2025-10-24;False;remainders;52;0;[]
2025-10-27;False;dailyremainders;2;0;[]
2025-10-28;False;dailyremainders;2;0;[]
2025-10-29;False;dailyremainders;2;0;[]
2025-10-30;False;dailyremainders;2;0;[]
2025-10-31;False;dailyremainders;2;0;[]
2025-10-31;False;remainders;52;0;[]
2025-11-03;False;dailyremainders;2;0;[]
2025-11-04;False;dailyremainders;2;0;[]
2025-11-05;False;dailyremainders;2;0;[]
2025-11-06;False;dailyremainders;2;0;[]
2025-11-07;False;dailyremainders;2;0;[]
2025-11-07;False;remainders;52;0;[]
